checked 120 exact instances; NO parity-cover instances=20
instances where an illegal odd cover shares a matching's exchange-B class: 66
instances where an illegal odd cover lies in the minimal affine span of all matchings: 32
YES 0 Report(q=3, m=13, fiber_size=64, matchings=4, minimum=3, exchange_rank=4, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=12, lightest_illegal_in_exchange_class=5, legal_span_rank=3, illegal_in_minimal_legal_affine_span=4, lightest_illegal_in_minimal_legal_affine_span=5)
YES 1 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=61, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=7)
YES 2 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=5, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=29, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=5)
YES 3 Report(q=3, m=13, fiber_size=64, matchings=5, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=59, lightest_illegal_in_exchange_class=5, legal_span_rank=4, illegal_in_minimal_legal_affine_span=11, lightest_illegal_in_minimal_legal_affine_span=5)
YES 4 Report(q=3, m=13, fiber_size=64, matchings=5, minimum=3, exchange_rank=4, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=11, lightest_illegal_in_exchange_class=5, legal_span_rank=4, illegal_in_minimal_legal_affine_span=11, lightest_illegal_in_minimal_legal_affine_span=5)
YES 5 Report(q=3, m=13, fiber_size=64, matchings=4, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=60, lightest_illegal_in_exchange_class=5, legal_span_rank=3, illegal_in_minimal_legal_affine_span=4, lightest_illegal_in_minimal_legal_affine_span=5)
YES 6 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=61, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=7)
YES 7 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=4, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=13, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=5)
YES 8 Report(q=3, m=13, fiber_size=64, matchings=2, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=62, lightest_illegal_in_exchange_class=5, legal_span_rank=1, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
YES 9 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=5, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=29, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=5)
sample reports:
YES 0 Report(q=3, m=13, fiber_size=64, matchings=4, minimum=3, exchange_rank=4, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=12, lightest_illegal_in_exchange_class=5, legal_span_rank=3, illegal_in_minimal_legal_affine_span=4, lightest_illegal_in_minimal_legal_affine_span=5)
YES 1 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=61, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=7)
YES 2 Report(q=3, m=13, fiber_size=64, matchings=3, minimum=3, exchange_rank=5, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=29, lightest_illegal_in_exchange_class=5, legal_span_rank=2, illegal_in_minimal_legal_affine_span=1, lightest_illegal_in_minimal_legal_affine_span=5)
YES 3 Report(q=3, m=13, fiber_size=64, matchings=5, minimum=3, exchange_rank=6, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=59, lightest_illegal_in_exchange_class=5, legal_span_rank=4, illegal_in_minimal_legal_affine_span=11, lightest_illegal_in_minimal_legal_affine_span=5)
YES 4 Report(q=3, m=13, fiber_size=64, matchings=5, minimum=3, exchange_rank=4, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=11, lightest_illegal_in_exchange_class=5, legal_span_rank=4, illegal_in_minimal_legal_affine_span=11, lightest_illegal_in_minimal_legal_affine_span=5)
NO 10003 Report(q=3, m=8, fiber_size=2, matchings=0, minimum=5, exchange_rank=0, quotient_distance=4, legal_differences_contained=True, illegal_in_exchange_class=0, lightest_illegal_in_exchange_class=None, legal_span_rank=0, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
NO 10004 Report(q=3, m=8, fiber_size=2, matchings=0, minimum=5, exchange_rank=0, quotient_distance=6, legal_differences_contained=True, illegal_in_exchange_class=0, lightest_illegal_in_exchange_class=None, legal_span_rank=0, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
NO 10020 Report(q=3, m=8, fiber_size=2, matchings=0, minimum=5, exchange_rank=0, quotient_distance=6, legal_differences_contained=True, illegal_in_exchange_class=0, lightest_illegal_in_exchange_class=None, legal_span_rank=0, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
NO 10027 Report(q=3, m=8, fiber_size=2, matchings=0, minimum=5, exchange_rank=0, quotient_distance=6, legal_differences_contained=True, illegal_in_exchange_class=0, lightest_illegal_in_exchange_class=None, legal_span_rank=0, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
NO 10028 Report(q=3, m=8, fiber_size=2, matchings=0, minimum=5, exchange_rank=1, quotient_distance=None, legal_differences_contained=True, illegal_in_exchange_class=0, lightest_illegal_in_exchange_class=None, legal_span_rank=0, illegal_in_minimal_legal_affine_span=0, lightest_illegal_in_minimal_legal_affine_span=None)
