checked 100 exact arbitrary-code catalyst assemblies
{'ell': 15, 'A_dim': 3, 'B_dim': 3, 'A_odd_d': 5, 'B_odd_d': 5}
(5, 1, 2, 3, 20, 376)
(3, 2, 1, 12, 5, 136)
(3, 2, 2, 12, 20, 136)
(3, 2, 2, 12, 20, 136)
(2, 2, 1, 12, 5, 61)
(5, 2, 2, 12, 20, 376)
(2, 1, 1, 3, 5, 61)
(2, 1, 1, 3, 5, 61)
(4, 1, 2, 3, 20, 241)
(3, 1, 2, 3, 20, 136)
(5, 2, 2, 12, 20, 376)
(4, 1, 3, 3, 45, 241)
(5, 2, 2, 12, 20, 376)
(2, 2, 1, 12, 5, 61)
(4, 1, 2, 3, 20, 241)
(3, 1, 2, 3, 20, 136)
(4, 2, 1, 12, 5, 241)
(4, 2, 1, 12, 5, 241)
(4, 2, 1, 12, 5, 241)
(3, 2, 2, 12, 20, 136)
