ratio,name,R,worstYES,bestNO,bestYES,worstNO
(1.1666666666666667, 'pair', 1, 12, 14, 12, 18)
(1.0952380952380953, 'pair', 2, 21, 23, 21, 31)
(1.0512820512820513, 'pair', 4, 39, 41, 39, 57)
(1.0266666666666666, 'pair', 8, 75, 77, 75, 109)
(1.0136054421768708, 'pair', 16, 147, 149, 147, 213)
(1.0, 'hybrid-24-3', 1, 21, 21, 21, 29)
(0.9487179487179487, 'hybrid-24-3', 2, 39, 37, 39, 53)
(0.92, 'hybrid-24-3', 4, 75, 69, 75, 101)
(0.9047619047619048, 'hybrid-24-3', 8, 147, 133, 147, 197)
(0.9047619047619048, 'hybrid-16-3', 1, 21, 19, 21, 27)
(0.8969072164948454, 'hybrid-24-3', 16, 291, 261, 291, 389)
(0.8888888888888888, 'hybrid-8-2', 1, 18, 16, 18, 24)
(0.8888888888888888, 'hybrid-12-2', 1, 18, 16, 18, 24)
(0.8461538461538461, 'hybrid-16-3', 2, 39, 33, 39, 49)
(0.8333333333333334, 'hash-24-3', 1, 12, 10, 12, 16)
(0.8181818181818182, 'hybrid-8-2', 2, 33, 27, 33, 43)
(0.8181818181818182, 'hybrid-12-2', 2, 33, 27, 33, 43)
(0.8133333333333334, 'hybrid-16-3', 4, 75, 61, 75, 93)
(0.7959183673469388, 'hybrid-16-3', 8, 147, 117, 147, 181)
(0.7869415807560137, 'hybrid-16-3', 16, 291, 229, 291, 357)
(0.7777777777777778, 'hybrid-8-2', 4, 63, 49, 63, 81)
(0.7777777777777778, 'hybrid-12-2', 4, 63, 49, 63, 81)
(0.7777777777777778, 'hash-12-2', 1, 9, 7, 9, 13)
(0.7560975609756098, 'hybrid-8-2', 8, 123, 93, 123, 157)
(0.7560975609756098, 'hybrid-12-2', 8, 123, 93, 123, 157)
(0.7448559670781894, 'hybrid-8-2', 16, 243, 181, 243, 309)
(0.7448559670781894, 'hybrid-12-2', 16, 243, 181, 243, 309)
(0.7142857142857143, 'hash-24-3', 2, 21, 15, 21, 27)
(0.6666666666666666, 'hash-16-3', 1, 12, 8, 12, 14)
(0.6410256410256411, 'hash-24-3', 4, 39, 25, 39, 49)
(0.6, 'hash-24-3', 8, 75, 45, 75, 93)
(0.6, 'hash-12-2', 2, 15, 9, 15, 19)
(0.5782312925170068, 'hash-24-3', 16, 147, 85, 147, 181)
(0.5555555555555556, 'hash-8-2', 1, 9, 5, 9, 11)
(0.5238095238095238, 'hash-16-3', 2, 21, 11, 21, 23)
(0.48148148148148145, 'hash-12-2', 4, 27, 13, 27, 31)
(0.4358974358974359, 'hash-16-3', 4, 39, 17, 39, 41)
(0.4117647058823529, 'hash-12-2', 8, 51, 21, 51, 55)
(0.38666666666666666, 'hash-16-3', 8, 75, 29, 75, 77)
(0.37373737373737376, 'hash-12-2', 16, 99, 37, 99, 103)
(0.36054421768707484, 'hash-16-3', 16, 147, 53, 147, 149)
(0.3333333333333333, 'hash-8-2', 2, 15, 5, 15, 17)
(0.18518518518518517, 'hash-8-2', 4, 27, 5, 27, 29)
(0.09803921568627451, 'hash-8-2', 8, 51, 5, 51, 53)
(0.050505050505050504, 'hash-8-2', 16, 99, 5, 99, 101)
{'first_exact_cheat': ('hash-8-2', 1, [(0, 0, 0), (0, 0, 1), (0, 1, 0), (0, 2, 1), (0, 2, 2), (1, 1, 2), (1, 2, 1), (2, 1, 0)], 173, 5, 4, 9), 'augmented_rows_cols': (17, 16)}
{'tested_instances_each': 40, 'feature_shells': 45, 'best': (1.1666666666666667, 'pair', 1, 12, 14, 12, 18)}
linear feature shell construction attacked exactly
