n=1073 k=6 orbits=536 constraints=95944
step=200000 conf=40 best=29 186s
step=400000 conf=126 best=28 420s
step=600000 conf=45 best=27 652s
step=800000 conf=134 best=27 882s
step=1000000 conf=57 best=27 1125s
step=1200000 conf=52 best=27 1371s
step=1400000 conf=134 best=27 1605s
step=1600000 conf=39 best=27 1855s
step=1800000 conf=39 best=27 2099s
step=2000000 conf=54 best=27 2363s
step=2200000 conf=118 best=27 2616s
step=2400000 conf=42 best=27 2863s
step=2600000 conf=44 best=27 3114s
step=2800000 conf=37 best=27 3375s
step=3000000 conf=48 best=27 3630s
step=3200000 conf=91 best=27 3886s
step=3400000 conf=42 best=27 4140s
step=3600000 conf=46 best=27 4408s
step=3800000 conf=137 best=27 4653s
