n=1079 k=6 orbits=539 constraints=97020
step=200000 conf=63 best=37 144s
step=400000 conf=56 best=37 306s
step=600000 conf=112 best=37 475s
step=800000 conf=70 best=33 636s
step=1000000 conf=149 best=33 797s
step=1200000 conf=57 best=33 989s
step=1400000 conf=55 best=33 1187s
step=1600000 conf=48 best=33 1410s
step=1800000 conf=57 best=33 1627s
step=2000000 conf=61 best=33 1843s
step=2200000 conf=60 best=33 2047s
step=2400000 conf=58 best=33 2261s
step=2600000 conf=74 best=33 2484s
step=2800000 conf=62 best=33 2711s
step=3000000 conf=59 best=33 2941s
step=3200000 conf=54 best=33 3177s
step=3400000 conf=161 best=33 3417s
step=3600000 conf=137 best=33 3658s
step=3800000 conf=73 best=33 3895s
step=4000000 conf=62 best=33 4137s
step=4200000 conf=61 best=33 4361s
step=4400000 conf=45 best=33 4581s
step=4600000 conf=127 best=33 4818s
step=4800000 conf=60 best=33 5039s
step=5000000 conf=45 best=33 5267s
step=5200000 conf=71 best=33 5507s
