{'r': 2, 's': 2, 'k': 2, 'constraints': 6} UNSAT
{'r': 2, 's': 2, 'k': 3, 'constraints': 6} UNSAT
{'r': 2, 's': 2, 'k': 4, 'constraints': 6} SAT
{'r': 2, 's': 3, 'k': 3, 'constraints': 11} UNSAT
{'r': 2, 's': 3, 'k': 4, 'constraints': 11} UNSAT
{'r': 2, 's': 3, 'k': 5, 'constraints': 11} SAT
{'r': 2, 's': 4, 'k': 4, 'constraints': 19} UNSAT
{'r': 2, 's': 4, 'k': 5, 'constraints': 19} UNSAT
{'r': 2, 's': 4, 'k': 6, 'constraints': 19} SAT
{'r': 2, 's': 5, 'k': 5, 'constraints': 31} UNSAT
{'r': 2, 's': 5, 'k': 6, 'constraints': 31} UNSAT
{'r': 2, 's': 5, 'k': 7, 'constraints': 31} SAT
{'r': 3, 's': 2, 'k': 3, 'constraints': 11} UNSAT
{'r': 3, 's': 2, 'k': 4, 'constraints': 11} UNSAT
{'r': 3, 's': 2, 'k': 5, 'constraints': 11} SAT
{'r': 3, 's': 3, 'k': 3, 'constraints': 17} UNSAT
{'r': 3, 's': 3, 'k': 4, 'constraints': 17} UNSAT
{'r': 3, 's': 3, 'k': 5, 'constraints': 17} UNSAT
{'r': 3, 's': 3, 'k': 6, 'constraints': 17} SAT
{'r': 3, 's': 4, 'k': 4, 'constraints': 26} UNSAT
{'r': 3, 's': 4, 'k': 5, 'constraints': 26} UNSAT
{'r': 3, 's': 4, 'k': 6, 'constraints': 26} UNSAT
{'r': 3, 's': 4, 'k': 7, 'constraints': 26} SAT
{'r': 3, 's': 5, 'k': 5, 'constraints': 39} UNSAT
{'r': 3, 's': 5, 'k': 6, 'constraints': 39} UNSAT
{'r': 3, 's': 5, 'k': 7, 'constraints': 39} UNSAT
{'r': 3, 's': 5, 'k': 8, 'constraints': 39} SAT
{'r': 4, 's': 2, 'k': 4, 'constraints': 19} UNSAT
{'r': 4, 's': 2, 'k': 5, 'constraints': 19} UNSAT
{'r': 4, 's': 2, 'k': 6, 'constraints': 19} SAT
{'r': 4, 's': 3, 'k': 4, 'constraints': 26} UNSAT
{'r': 4, 's': 3, 'k': 5, 'constraints': 26} UNSAT
{'r': 4, 's': 3, 'k': 6, 'constraints': 26} UNSAT
{'r': 4, 's': 3, 'k': 7, 'constraints': 26} SAT
{'r': 4, 's': 4, 'k': 4, 'constraints': 36} UNSAT
{'r': 4, 's': 4, 'k': 5, 'constraints': 36} UNSAT
{'r': 4, 's': 4, 'k': 6, 'constraints': 36} UNSAT
{'r': 4, 's': 4, 'k': 7, 'constraints': 36} UNSAT
{'r': 4, 's': 4, 'k': 8, 'constraints': 36} SAT
{'r': 4, 's': 5, 'k': 5, 'constraints': 50} UNSAT
{'r': 4, 's': 5, 'k': 6, 'constraints': 50} UNSAT
{'r': 4, 's': 5, 'k': 7, 'constraints': 50} UNSAT
{'r': 4, 's': 5, 'k': 8, 'constraints': 50} UNSAT
{'r': 4, 's': 5, 'k': 9, 'constraints': 50} SAT
{'r': 5, 's': 2, 'k': 5, 'constraints': 31} UNSAT
{'r': 5, 's': 2, 'k': 6, 'constraints': 31} UNSAT
{'r': 5, 's': 2, 'k': 7, 'constraints': 31} SAT
{'r': 5, 's': 3, 'k': 5, 'constraints': 39} UNSAT
{'r': 5, 's': 3, 'k': 6, 'constraints': 39} UNSAT
{'r': 5, 's': 3, 'k': 7, 'constraints': 39} UNSAT
{'r': 5, 's': 3, 'k': 8, 'constraints': 39} SAT
{'r': 5, 's': 4, 'k': 5, 'constraints': 50} UNSAT
{'r': 5, 's': 4, 'k': 6, 'constraints': 50} UNSAT
{'r': 5, 's': 4, 'k': 7, 'constraints': 50} UNSAT
{'r': 5, 's': 4, 'k': 8, 'constraints': 50} UNSAT
{'r': 5, 's': 4, 'k': 9, 'constraints': 50} SAT
{'r': 5, 's': 5, 'k': 5, 'constraints': 65} UNSAT
{'r': 5, 's': 5, 'k': 6, 'constraints': 65} UNSAT
{'r': 5, 's': 5, 'k': 7, 'constraints': 65} UNSAT
{'r': 5, 's': 5, 'k': 8, 'constraints': 65} UNSAT
{'r': 5, 's': 5, 'k': 9, 'constraints': 65} UNSAT
{'r': 5, 's': 5, 'k': 10, 'constraints': 65} SAT
